algo,fichier,temps,hauteur
vorace,b100000_10.txt,4.4065,28499422
vorace,b100000_1.txt,4.0377,26416896
vorace,b100000_2.txt,5.1187,30275456
vorace,b100000_3.txt,4.9987,29049969
vorace,b100000_4.txt,5.0018,28088205
vorace,b100000_5.txt,4.4459,26396858
vorace,b100000_6.txt,4.3118,25055098
vorace,b100000_7.txt,4.6666,27856217
vorace,b100000_8.txt,4.7887,28854076
vorace,b100000_9.txt,5.9051,27080004
vorace,b10000_10.txt,0.2959,5615610
vorace,b10000_1.txt,0.3745,5302468
vorace,b10000_2.txt,0.3107,5981893
vorace,b10000_3.txt,0.2893,5823243
vorace,b10000_4.txt,0.2978,5701284
vorace,b10000_5.txt,0.2875,5379713
vorace,b10000_6.txt,0.33,5600070
vorace,b10000_7.txt,0.3005,5537940
vorace,b10000_8.txt,0.3451,5149301
vorace,b10000_9.txt,0.3602,5862362
vorace,b1000_10.txt,0.0325,169491
vorace,b1000_1.txt,0.0343,178352
vorace,b1000_2.txt,0.0397,188761
vorace,b1000_3.txt,0.0279,158635
vorace,b1000_4.txt,0.0312,188002
vorace,b1000_5.txt,0.0345,168390
vorace,b1000_6.txt,0.0363,151577
vorace,b1000_7.txt,0.0289,161782
vorace,b1000_8.txt,0.0325,169122
vorace,b1000_9.txt,0.0308,180489
vorace,b100_10.txt,0.0118,4844
vorace,b100_1.txt,0.01,5022
vorace,b100_2.txt,0.0125,5665
vorace,b100_3.txt,0.0102,5673
vorace,b100_4.txt,0.0102,4242
vorace,b100_5.txt,0.0103,3958
vorace,b100_6.txt,0.01,4789
vorace,b100_7.txt,0.0115,4847
vorace,b100_8.txt,0.0102,4493
vorace,b100_9.txt,0.0112,5215
vorace,b50000_10.txt,2.5114,19908570
vorace,b50000_1.txt,2.9829,18617758
vorace,b50000_2.txt,5.0856,18637385
vorace,b50000_3.txt,3.1104,20200704
vorace,b50000_4.txt,2.1803,20188240
vorace,b50000_5.txt,3.5426,18840079
vorace,b50000_6.txt,1.7907,18781087
vorace,b50000_7.txt,1.7559,18411065
vorace,b50000_8.txt,1.705,20822420
vorace,b50000_9.txt,2.7722,20423028
vorace,b5000_10.txt,0.2258,1922967
vorace,b5000_1.txt,0.1466,1852063
vorace,b5000_2.txt,0.1896,2008267
vorace,b5000_3.txt,0.2022,1726845
vorace,b5000_4.txt,0.1362,1931581
vorace,b5000_5.txt,0.1469,1868968
vorace,b5000_6.txt,0.1398,1769989
vorace,b5000_7.txt,0.1421,2056976
vorace,b5000_8.txt,0.1646,1980125
vorace,b5000_9.txt,0.2368,1925756
vorace,b500_10.txt,0.0207,57616
vorace,b500_1.txt,0.0215,51139
vorace,b500_2.txt,0.0251,62026
vorace,b500_3.txt,0.022,62351
vorace,b500_4.txt,0.0215,55337
vorace,b500_5.txt,0.0221,64526
vorace,b500_6.txt,0.0236,50095
vorace,b500_7.txt,0.0348,63629
vorace,b500_8.txt,0.0228,59745
vorace,b500_9.txt,0.0215,65992
vorace,b100000_10.txt,5.7483,28455600
vorace,b100000_1.txt,8.1124,27191650
vorace,b100000_2.txt,6.8912,30556639
vorace,b100000_3.txt,6.6543,28932559
vorace,b100000_4.txt,4.9716,28360040
vorace,b100000_5.txt,7.3004,26527086
vorace,b100000_6.txt,6.8664,25674609
vorace,b100000_7.txt,5.7089,28145160
vorace,b100000_8.txt,6.6227,29517252
vorace,b100000_9.txt,5.7961,27744991
vorace,b10000_10.txt,0.4568,5637888
vorace,b10000_1.txt,0.5084,5302134
vorace,b10000_2.txt,0.4081,5942127
vorace,b10000_3.txt,0.3321,5803065
vorace,b10000_4.txt,0.3986,5686436
vorace,b10000_5.txt,0.3659,5372114
vorace,b10000_6.txt,0.3018,5574944
vorace,b10000_7.txt,0.3185,5548957
vorace,b10000_8.txt,0.3392,5129362
vorace,b10000_9.txt,0.3279,5873049
vorace,b1000_10.txt,0.0491,172923
vorace,b1000_1.txt,0.0326,181238
vorace,b1000_2.txt,0.055,185413
vorace,b1000_3.txt,0.031,171266
vorace,b1000_4.txt,0.0351,184525
vorace,b1000_5.txt,0.0451,168390
vorace,b1000_6.txt,0.033,154910
vorace,b1000_7.txt,0.0312,161782
vorace,b1000_8.txt,0.0323,171497
vorace,b1000_9.txt,0.0392,180489
vorace,b100_10.txt,0.0102,4393
vorace,b100_1.txt,0.01,5290
vorace,b100_2.txt,0.0118,5094
vorace,b100_3.txt,0.0113,5323
vorace,b100_4.txt,0.0105,4092
vorace,b100_5.txt,0.0097,4285
vorace,b100_6.txt,0.0105,5045
vorace,b100_7.txt,0.0148,4546
vorace,b100_8.txt,0.0097,4656
vorace,b100_9.txt,0.0115,4748
vorace,b50000_10.txt,2.4162,19804432
vorace,b50000_1.txt,1.8719,18823861
vorace,b50000_2.txt,3.857,18539967
vorace,b50000_3.txt,2.1949,20045271
vorace,b50000_4.txt,3.5227,20216584
vorace,b50000_5.txt,1.8035,18840079
vorace,b50000_6.txt,2.2851,18809728
vorace,b50000_7.txt,3.5504,18399771
vorace,b50000_8.txt,2.3289,20841164
vorace,b50000_9.txt,2.962,20448876
vorace,b5000_10.txt,0.4303,1943706
vorace,b5000_1.txt,0.2261,1844331
vorace,b5000_2.txt,0.2102,2032500
vorace,b5000_3.txt,0.1744,1726845
vorace,b5000_4.txt,0.1472,1930904
vorace,b5000_5.txt,0.3968,1861962
vorace,b5000_6.txt,0.2207,1775485
vorace,b5000_7.txt,0.3143,2059590
vorace,b5000_8.txt,0.1585,1985830
vorace,b5000_9.txt,0.1577,1913751
vorace,b500_10.txt,0.0786,57653
vorace,b500_1.txt,0.0315,49026
vorace,b500_2.txt,0.0258,62898
vorace,b500_3.txt,0.0228,63289
vorace,b500_4.txt,0.0284,54926
vorace,b500_5.txt,0.0348,63630
vorace,b500_6.txt,0.0238,50258
vorace,b500_7.txt,0.0361,65032
vorace,b500_8.txt,0.0299,59972
vorace,b500_9.txt,0.0238,66637
vorace,b100000_10.txt,5.0263,28282497
vorace,b100000_1.txt,4.5903,26668416
vorace,b100000_2.txt,9.5063,30275456
vorace,b100000_3.txt,5.2444,28874117
vorace,b100000_4.txt,4.7219,27937172
vorace,b100000_5.txt,5.0723,26411208
vorace,b100000_6.txt,5.216,25432624
vorace,b100000_7.txt,4.8663,28145160
